00000  190000         ADD     #0    
00003  590001         ADDF    #1    
00006  410002         AND     #2    
00009  290003         COMP    #3    
0000C  890004         COMPF   #4    
0000F  250005         DIV     #5    
00012  650006         DIVF    #6    
00015  3D0007         J       #7    
00018  310008         JEQ     #8    
0001B  350009         JGT     #9    
0001E  39000A         JLT     #10    
00021  49000B         JSUB    #11    
00024  01000C         LDA     #12    
00027  69000D         LDB     #13    
0002A  51000E         LDCH    #14    
0002D  71000F         LDF     #15    
00030  6D0010         LDS     #16    
00033  750011         LDT     #17    
00036  050012         LDX     #18    
00039  D10013         LPS     #19    
0003C  210014         MUL     #20    
0003F  610015         MULF    #21    
00042  450016         OR      #22    
00045  D90017         RD      #23    
00048  4F0000         RSUB        
0004B  ED0019         SSK     #25    
0004E  0D001A         STA     #26    
00051  79001B         STB     #27    
00054  55001C         STCH    #28    
00057  81001D         STF     #29    
0005A  D5001E         STI     #30    
0005D  15001F         STL     #31    
00060  7D0020         STS     #32    
00063  E90021         STSW    #33    
00066  110022         STX     #34    
00069  1D0023         SUB     #35    
0006C  5D0024         SUBF    #36    
0006F  E10025         TD      #37    
00072  2D0026         TIX     #38    
00075  DD0027         WD      #39    
